Timestamp,"I would like candidates to write about their experiences (e.g. blog, writing columns in The Ubyssey) ",I think the AMS currently does enough consultation with students,I want more face-to-face time with elected candidates ,I think the AMS's most important job is engaging students,I value management experience in a candidate ,"I think it's a good thing for a candidate to have experience within a specific political party, even if they might have to lobby that party's opponents",I think the AMS should focus on lobbying for the Broadway subway line extension to UBC more than than alternate transit fixes,I think that campaigns encouraging students to vote in the gov elections are valuable,I think candidates should have experience lobbying for student interests,I value the prioritization of diversity in every aspect of decision-making,I think the AMS should focus more on events,I'm in favour of repealing the arts language requirement,"I think Block Party should be bigger, at a bigger financial risk",I think that the AMS should explore more options for campus security.,I think that the AMS should prioritize eradicating bike theft,I think the AMS should prioritize getting more people out to Thunderbirds games,I value experience in creating and understanding university policies,I value a constant push for transparency within the bodies of UBC,I value a candidate that is well-versed in UBC's sexual assault policy,I think that the AMS should invest their money at a slightly higher risk for a larger financial gain,I think that extending the add-drop deadline would improve student mental health,I am satisfied with the current amount of mental health services on campus,I support continued advocacy for more athletics and recreation space on campus,I think current VP Finance Louis Retief has done a good job of managing the AMS's finances this year,I would like to see a quarterly report of the AMS's finances,I value a fresh perspective over relevant experience,It's important for my representatives to have close ties to the Greek system,I think student representation on Senate has been good this year,"It's important for my representatives to have prior AMS or constituency (AUS, EUS, etc.) experience",It's important for my representatives to have experience working with others,"I think a ""steady hand"" is more important than shaking things up"
3/6/2017 22:56:51,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree
3/6/2017 22:58:25,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree
3/6/2017 22:58:37,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Neutral
3/6/2017 22:59:52,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree
3/6/2017 23:00:59,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree
3/6/2017 23:01:02,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 23:01:08,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree
3/6/2017 23:02:14,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral
3/6/2017 23:02:38,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree
3/6/2017 23:03:15,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Disagree
3/6/2017 23:04:32,Agree,Disagree,Agree,Strongly Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 23:08:07,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral
3/6/2017 23:09:04,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Strongly Agree,Neutral,Strongly Disagree,,Agree,Agree,Agree
3/6/2017 23:09:29,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral
3/6/2017 23:11:12,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral
3/6/2017 23:11:22,Agree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree
3/6/2017 23:12:49,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree
3/6/2017 23:13:35,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree
3/6/2017 23:14:33,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neutral
