Timestamp,"I would like candidates to write about their experiences (e.g. blog, writing columns in The Ubyssey) ",I think the AMS currently does enough consultation with students,I want more face-to-face time with elected candidates ,I think the AMS's most important job is engaging students,I value management experience in a candidate ,"I think it's a good thing for a candidate to have experience within a specific political party, even if they might have to lobby that party's opponents",I think the AMS should focus on lobbying for the Broadway subway line extension to UBC more than than alternate transit fixes,I think that campaigns encouraging students to vote in the gov elections are valuable,I think candidates should have experience lobbying for student interests,I value the prioritization of diversity in every aspect of decision-making,I think the AMS should focus more on events,I'm in favour of repealing the arts language requirement,"I think Block Party should be bigger, at a bigger financial risk",I think that the AMS should explore more options for campus security.,I think that the AMS should prioritize eradicating bike theft,I think the AMS should prioritize getting more people out to Thunderbirds games,I value experience in creating and understanding university policies,I value a constant push for transparency within the bodies of UBC,I value a candidate that is well-versed in UBC's sexual assault policy,I think that the AMS should invest their money at a slightly higher risk for a larger financial gain,I think that extending the add-drop deadline would improve student mental health,I am satisfied with the current amount of mental health services on campus,I support continued advocacy for more athletics and recreation space on campus,I think current VP Finance Louis Retief has done a good job of managing the AMS's finances this year,I would like to see a quarterly report of the AMS's finances,I value a fresh perspective over relevant experience,It's important for my representatives to have close ties to the Greek system,I think student representation on Senate has been good this year,"It's important for my representatives to have prior AMS or constituency (AUS, EUS, etc.) experience",It's important for my representatives to have experience working with others,"I think a ""steady hand"" is more important than shaking things up"
3/6/2017 14:40:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2017 14:41:14,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
3/6/2017 14:41:35,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral
3/6/2017 14:47:01,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree
3/6/2017 14:54:44,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
3/6/2017 14:54:55,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
3/6/2017 14:55:11,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
3/6/2017 14:58:57,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
3/6/2017 15:04:48,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral
3/6/2017 15:08:37,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree
3/6/2017 16:02:25,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree
3/6/2017 16:02:39,Neutral,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral
3/6/2017 16:03:21,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral
3/6/2017 16:03:28,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral
3/6/2017 16:03:50,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree
3/6/2017 16:04:24,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral
3/6/2017 16:04:50,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree
3/6/2017 16:04:53,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:04:54,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral
3/6/2017 16:04:55,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree
3/6/2017 16:05:07,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree
3/6/2017 16:05:09,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral
3/6/2017 16:05:44,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree
3/6/2017 16:06:01,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree
3/6/2017 16:06:02,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral
3/6/2017 16:06:06,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:06:07,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree
3/6/2017 16:06:08,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
3/6/2017 16:06:40,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral
3/6/2017 16:07:08,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree
3/6/2017 16:07:30,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral
3/6/2017 16:07:33,Strongly Agree,,Agree,,,,,,Strongly Agree,,,Disagree,,,,,Strongly Agree,Agree,,,Strongly Agree,Disagree,,,,Strongly Disagree,,Strongly Agree,Agree,Strongly Agree,Agree
3/6/2017 16:07:40,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree
3/6/2017 16:07:54,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral
3/6/2017 16:08:23,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/6/2017 16:08:46,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral
3/6/2017 16:09:03,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,,Strongly Agree,,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree
3/6/2017 16:09:05,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree
3/6/2017 16:09:16,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral
3/6/2017 16:09:50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/6/2017 16:10:31,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Disagree
3/6/2017 16:10:57,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree
3/6/2017 16:11:00,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree
3/6/2017 16:11:08,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree
3/6/2017 16:11:12,Agree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Neutral,,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Neutral
3/6/2017 16:11:15,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,,Agree,Disagree,Neutral,,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral
3/6/2017 16:11:20,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
3/6/2017 16:11:31,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:11:33,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
3/6/2017 16:11:33,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree
3/6/2017 16:11:51,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree
3/6/2017 16:12:42,,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral
3/6/2017 16:13:20,Neutral,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,,Disagree,Strongly Agree,Strongly Agree,,Disagree,Neutral,Strongly Disagree
3/6/2017 16:13:53,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral
3/6/2017 16:13:56,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree
3/6/2017 16:14:06,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree
3/6/2017 16:14:13,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree
3/6/2017 16:14:13,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:14:38,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/6/2017 16:14:41,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral
3/6/2017 16:14:44,Neutral,Neutral,,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,,Neutral,Neutral,,Agree,Neutral,,Agree,Agree,Agree
3/6/2017 16:15:03,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:15:12,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral
3/6/2017 16:15:21,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree
3/6/2017 16:15:25,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree
3/6/2017 16:15:25,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree
3/6/2017 16:15:32,Agree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/6/2017 16:15:35,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Disagree
3/6/2017 16:16:32,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree
3/6/2017 16:17:21,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree
3/6/2017 16:17:23,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree
3/6/2017 16:17:31,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree
